,total,Nintendo EAD,Game Freak,EA Canada,Infinity Ward
2004.0,11.06,11.06,0.0,0.0,0.0
2005.0,62.88,59.31,0.0,1.51,2.06
2006.0,130.64,127.07,0.0,3.57,0.0
2007.0,79.12,41.91,17.67,3.41,16.13
2008.0,76.94,70.17,0.0,6.77,0.0
2009.0,133.1,88.04,7.6,13.32,24.14
2010.0,29.76,2.24,12.72,14.8,0.0
2011.0,70.3,11.25,15.64,14.41,29.0
2012.0,16.12,5.77,8.52,1.83,0.0
2013.0,63.84,19.34,16.37,0.0,28.13
2014.0,17.08,0.0,0.0,17.08,0.0
2015.0,27.87,12.26,0.0,15.61,0.0
2016.0,30.79,0.0,16.14,14.65,0.0
2017.0,8.28,0.0,8.28,0.0,0.0
2018.0,7.3,0.0,7.3,0.0,0.0
2019.0,0.0,0.0,0.0,0.0,0.0
total,765.08,448.42,110.24,106.96,99.46
