,0,1,2,3,4,5
"Mario Kart 8 Deluxe (NS)Nintendo, Racing",0,1888137,456052,249730,307234,278443
"FIFA 18 (PS4)Electronic Arts, Sports",0,6497016,858262,1766534,1186088,237602
"NBA 2K17 (PS4)Take-Two Interactive, Sports",0,1271618,277454,472680,608742,117324
"Tom Clancy's Ghost Recon Wildlands (PS4)Ubisoft, Shooter",0,1571026,291580,162355,126362,111029
"Call of Duty: Infinite Warfare (XOne)Activision, Shooter",0,2096648,1621370,264923,121722,130342
"God of War (PS4) (PS4)Sony Interactive Entertainment, Action",0,3611035,505391,359910,211086,155831
"FIFA 17 (PS4)Electronic Arts, Sports",0,5881594,737967,1991271,1189425,219276
"Call of Duty: WWII (PS4)Activision, Shooter",0,7456077,3598796,1006291,286250,201183
"Minecraft (NS)Mojang, Sandbox",0,261476,171535,150849,147146,159391
"Overwatch (PS4)Activision, Shooter",0,990289,287821,149098,125748,102741
"Donkey Kong Country: Tropical Freeze (NS)Nintendo, Platform",0,606107,201996,117213,101029,82526
"The Legend of Zelda: Breath of the Wild (NS)Nintendo, Action-Adventure",0,1894606,561895,417662,284652,198850
"Battlefield 1 (XOne)Electronic Arts, Shooter",0,1686005,1426617,1152040,92886,113856
"Battlefield 1 (PS4)Electronic Arts, Shooter",0,3187191,1526362,1336758,148358,165439
"Assassin's Creed Origins (PS4)Ubisoft, Action",0,1801283,889475,559677,98846,114235
"Call of Duty: WWII (XOne)Activision, Shooter",0,3444031,1716616,455649,138248,100719
"Pokemon: Ultra Sun and Ultra Moon (3DS)Nintendo, Role-Playing",0,3991930,1470634,211655,178607,140912
"Kirby (NS)Nintendo, Platform",0,975173,200295,96505,73978,90298
"Star Wars Battlefront II (2017) (PS4)Electronic Arts, Shooter",0,1971599,1518592,138260,119831,91361
"Super Mario Odyssey (NS)Nintendo, Platform",0,3623710,2714771,1716224,348231,360633
"Call of Duty: Infinite Warfare (PS4)Activision, Shooter",0,3824798,2096109,534751,246872,247777
"Pokemon Sun/Moon (3DS)Nintendo, Role-Playing",0,8842918,3504561,402838,372107,342715
"1-2-Switch (NS)Nintendo, Party",0,325758,156380,94527,69155,76898
