,total,Sports,Action,Shooter,Role-Playing,Misc,Racing
2004.0,2.35,0.46,0.5,0.0,0.0,0.65,0.74
2005.0,76.91,10.45,12.99,7.04,4.08,3.52,38.83
2006.0,247.03,105.23,28.24,29.19,18.62,46.75,19.0
2007.0,391.73,45.82,71.62,75.36,44.08,120.52,34.33
2008.0,449.64,110.62,79.07,65.6,44.88,75.78,73.69
2009.0,454.01,133.44,97.37,65.53,53.08,67.21,37.38
2010.0,436.61,89.01,90.49,75.24,72.35,74.25,35.27
2011.0,404.71,57.92,102.58,88.44,61.06,49.86,44.85
2012.0,223.27,50.29,32.63,65.36,39.08,20.89,15.02
2013.0,271.95,40.59,79.51,66.84,39.38,31.5,14.13
2014.0,257.28,44.83,60.27,59.49,36.93,38.59,17.17
2015.0,230.75,42.9,53.73,74.86,44.69,6.14,8.43
2016.0,215.42,45.33,43.06,58.95,57.71,5.24,5.13
2017.0,220.3,34.96,54.6,56.55,39.24,4.72,30.23
2018.0,123.45,29.69,28.91,21.16,34.09,2.88,6.72
2019.0,1.66,0.0,0.22,0.0,1.42,0.02,0.0
2020.0,1.71,0.0,0.4,0.0,0.96,0.24,0.11
total,4008.78,841.54,836.19,809.61,591.65,548.76,381.03
